[名前]	[分類]	[格納フォルダ]	[略語]	[英語]	[日本語]	[読み方]	[類語]	[説明]
7セグメント表示器	jp/数字	7	-	7-segment display	7セグメント表示器	ななセグメントひょうじき	LEDセグメント表示器	数字や一部の文字を表示するために使用されるデジタル表示デバイス。7つの独立したセグメントが数字や一部の文字を形成する。
AGI	jp/英語アルファベット	A	-	Artificial General Intelligence	人工汎用知能	じんこうはんようちのう	-	人間の知能と同等の汎用的な知能を持つ人工知能。
AGV	jp/英語アルファベット	A	-	Automated Guided Vehicle	無人搬送車	むじんはんそうしゃ	-	自動で物品を搬送する車両。
AI	jp/英語アルファベット	A	-	Artificial Intelligence	人工知能	じんこうちのう	-	機械が人間の知能のような働きをする技術。
AR	jp/英語アルファベット	A	-	Augmented Reality	拡張現実	かくちょうげんじつ	-	現実の環境に仮想の情報を重ね合わせる技術。
BLE	jp/英語アルファベット	B	-	Bluetooth Low Energy	低消費電力Bluetooth	ていしょうひでんりょくBluetooth	-	省エネルギーで短距離通信を行うBluetooth技術。
CAD	jp/英語アルファベット	C	-	Computer-Aided Design	コンピュータ支援設計	コンピュータしえんせっけい	-	コンピュータを使用して設計や製図を行う技術。
CAM	jp/英語アルファベット	C	-	Computer-Aided Manufacturing	コンピュータ支援製造	コンピュータしえんせいぞう	-	コンピュータを使用して製造プロセスを管理する技術。
CAN	jp/英語アルファベット	C	-	Controller Area Network	コントローラエリアネットワーク	コントローラエリアネットワーク	-	車両などのシステム内で制御データを通信するネットワーク規格。
CC-Link	jp/英語アルファベット	C	-	Control & Communication Link	シーシーリンク	シーシーリンク	-	工業用ネットワークの一種で、FA機器の相互接続に使用される。
column	jp/英語アルファベット	C	-	Column	列	れつ	行	データベースや表計算ソフトにおける縦方向の項目。
COMポート	jp/英語アルファベット	C	-	COM Port	COMポート	COMポート	-	シリアル通信を行うための通信ポート。
DDL	jp/英語アルファベット	D	-	Data Definition Language	データ定義言語	データていぎげんご	-	データベースの構造を定義するための言語。
EtherNet	jp/英語アルファベット	E	-	Ethernet	イーサネット	イーサネット	-	コンピュータネットワークの一種で、有線通信を行う規格。
ForwardKinematics	jp/英語アルファベット	F	FK	Forward Kinematics	順運動学	じゅんうんどうがく	-	関節の角度から手先の位置を計算する技術。
GPIO	jp/英語アルファベット	G	-	General Purpose Input/Output	汎用入出力	はんようにゅうしゅつりょく	-	マイクロコントローラの入出力ピン。
Hz	jp/英語アルファベット	H	-	Hertz	ヘルツ	ヘルツ	-	周波数の単位で、1秒あたりの振動数を示す。
I2C	jp/英語アルファベット	I	-	Inter-Integrated Circuit	アイツーシー	アイツーシー	-	デバイス間の短距離通信プロトコル。
ICS	jp/英語アルファベット	I	-	Industrial Control System	産業制御システム	さんぎょうせいぎょシステム	-	産業用機械やプロセスを制御するシステム。
IMU	jp/英語アルファベット	I	-	Inertial Measurement Unit	慣性計測装置	かんせいけいそくそうち	-	加速度や角速度を測定する装置。
InverseKinematics	jp/英語アルファベット	I	IK	Inverse Kinematics	逆運動学	ぎゃくうんどうがく	-	手先の位置から関節角度を計算する技術。
IoT	jp/英語アルファベット	I	-	Internet of Things	モノのインターネット	モノのインターネット	-	物理的な物体がインターネットを通じて通信する仕組み。
ISO	jp/英語アルファベット	I	-	International Organization for Standardization	国際標準化機構	こくさいひょうじゅんかきこう	-	国際的な標準を策定する機関。
JIS	jp/英語アルファベット	J	-	Japanese Industrial Standards	日本工業規格	にほんこうぎょうきかく	-	日本の工業製品に関する標準規格。
matrix	jp/英語アルファベット	M	-	Matrix	行列	ぎょうれつ	-	数値を長方形の配列で表現したもの。線形代数で使用される。
PID制御	jp/英語アルファベット	P	-	PID Control	PID制御	PIDせいぎょ	-	比例、積分、微分の各制御を組み合わせたフィードバック制御方式。
PLC	jp/英語アルファベット	P	-	Programmable Logic Controller	プログラマブルロジックコントローラ	プログラマブルロジックコントローラ	-	工業オートメーションに用いられるデジタルコンピュータ。
PWM	jp/英語アルファベット	P	-	Pulse Width Modulation	パルス幅変調	パルスはばへんちょう	-	信号のパルス幅を変えることで制御する技術。
ROS	jp/英語アルファベット	R	-	Robot Operating System	ロボットオペレーティングシステム	ロボットオペレーティングシステム	-	ロボット用のオープンソースのミドルウェア。
row	jp/英語アルファベット	R	-	Row	行	ぎょう	列	データベースや表計算ソフトにおける横方向の項目。
RPM	jp/英語アルファベット	R	-	Revolutions Per Minute	回転数	かいてんすう	-	1分間あたりの回転数。
RS232C	jp/英語アルファベット	R	-	RS232C	RS232C	アールエス232C	-	シリアル通信規格の一つ。
RS485	jp/英語アルファベット	R	-	RS485	RS485	アールエス485	-	差動シリアル通信規格。
SLAM	jp/英語アルファベット	S	-	Simultaneous Localization and Mapping	自己位置推定と地図作成	じこいちすいていとちずさくせい	-	ロボットが自己位置を推定しながら周囲の地図を作成する技術。
SPI	jp/英語アルファベット	S	-	Serial Peripheral Interface	シリアルペリフェラルインターフェース	シリアルペリフェラルインターフェース	-	デバイス間の短距離通信プロトコル。
TCP	jp/英語アルファベット	T	-	Transmission Control Protocol	トランスミッションコントロールプロトコル	トランスミッションコントロールプロトコル	-	インターネットで標準的に使用される通信プロトコル。
TTL通信	jp/英語アルファベット	T	-	Transistor-Transistor Logic Communication	TTL通信	ティーティーエルつうしん	-	トランジスタ-トランジスタロジックレベルでの通信。
UDP	jp/英語アルファベット	U	-	User Datagram Protocol	ユーザデータグラムプロトコル	ユーザデータグラムプロトコル	-	インターネットで使用される軽量の通信プロトコル。
アーム	jp/五十音/ア行	ア	-	Arm	アーム	アーム	ロボットアーム	ロボットの操作や作業を行うための腕のような部分。
アクチュエータ	jp/五十音/ア行	ア	-	Actuator	アクチュエータ	アクチュエータ	駆動装置	エネルギーを機械運動に変換する装置。
アプリケーション	jp/五十音/ア行	ア	-	Application	アプリケーション	アプリケーション	応用プログラム	特定の目的を持ったソフトウェアプログラム。
アンドロイド	jp/五十音/ア行	ア	-	Android	アンドロイド	アンドロイド	人型ロボット	人間に似た形をしたロボット。
位置繰返し精度	jp/五十音/ア行	イ	-	Position Repeatability	位置繰返し精度	いちくりかえしせいど	-	同じ位置に繰り返し移動する際の精度。
移動ロボット	jp/五十音/ア行	イ	-	Mobile Robot	移動ロボット	いどうロボット	-	移動能力を持つロボット。
インターフェース	jp/五十音/ア行	イ	-	Interface	インターフェース	インターフェース	-	異なるシステムやデバイス間の接続手段。
演繹	jp/五十音/ア行	エ	-	Deduction	演繹	えんえき	-	一般的な法則から具体的な結論を導き出す方法。
エンコーダ	jp/五十音/ア行	エ	-	Encoder	エンコーダ	エンコーダ	-	位置や速度を計測するための装置。
遠心力	jp/五十音/ア行	エ	-	Centrifugal Force	遠心力	えんしんりょく	-	回転する物体が中心から外に向かって受ける見かけの力。
エンドエフェクタ	jp/五十音/ア行	エ	-	End Effector	エンドエフェクタ	エンドエフェクタ	-	ロボットアームの末端に取り付けられる作業用ツール。
オイラー角	jp/五十音/ア行	オ	-	Euler Angles	オイラー角	オイラーかく	-	3次元空間における物体の回転を表す角度。
応答速度	jp/五十音/ア行	オ	-	Response Speed	応答速度	おうとうそくど	-	システムやデバイスが入力に対して応答する速さ。
オフセット	jp/五十音/ア行	オ	-	Offset	オフセット	オフセット	-	基準からのずれや差。
オペレータ	jp/五十音/ア行	オ	-	Operator	オペレータ	オペレータ	-	機械やシステムを操作する人。
オムニホイール	jp/五十音/ア行	オ	-	Omni Wheel	オムニホイール	オムニホイール	-	全方向に動ける特殊なホイール。
外界センサ	jp/五十音/カ行	カ	-	External Sensor	外界センサ	がいかいセンサ	-	周囲の環境情報を取得するためのセンサー。
外積	jp/五十音/カ行	カ	-	Cross Product	外積	がいせき	ベクトル積	二つのベクトルから新しいベクトルを求める演算。
外乱	jp/五十音/カ行	カ	-	Disturbance	外乱	がいらん	-	システムに対する予期しない外部からの影響。
角速度	jp/五十音/カ行	カ	-	Angular Velocity	角速度	かくそくど	-	物体が回転する速さ。単位時間あたりの回転角度。
画像認識	jp/五十音/カ行	カ	-	Image Recognition	画像認識	がぞうにんしき	-	画像から物体やパターンを認識する技術。
加速度	jp/五十音/カ行	カ	-	Acceleration	加速度	かそくど	-	物体の速度が変化する割合。
加速度センサ	jp/五十音/カ行	カ	-	Accelerometer	加速度センサ	かそくどセンサ	-	物体の加速度を測定するセンサー。
架台	jp/五十音/カ行	カ	-	Mounting Frame	架台	かだい	-	機器や装置を支えるための構造物。
カルマンフィルタ	jp/五十音/カ行	カ	-	Kalman Filter	カルマンフィルタ	カルマンフィルタ	-	信号処理や状態推定に用いられる再帰的フィルタ。
感覚制御	jp/五十音/カ行	カ	-	Sensory Control	感覚制御	かんかくせいぎょ	-	センサーからの情報をもとに制御を行う方法。
キーフレーム	jp/五十音/カ行	キ	-	Key Frame	キーフレーム	キーフレーム	-	アニメーションにおいて重要な動作を定義するフレーム。
機械学習	jp/五十音/カ行	キ	ML	Machine Learning	機械学習	きかいがくしゅう	-	データからパターンを学び予測や判断を行う技術。
義手	jp/五十音/カ行	キ	-	Prosthetic Arm	義手	ぎしゅ	-	失った腕の機能を補うための人工装具。
義足	jp/五十音/カ行	キ	-	Prosthetic Leg	義足	ぎそく	-	失った足の機能を補うための人工装具。
軌道	jp/五十音/カ行	キ	-	Trajectory	軌道	きどう	-	物体が移動する経路。
軌道追従	jp/五十音/カ行	キ	-	Trajectory Following	軌道追従	きどうついしょう	-	設定された軌道に沿って動作する制御方法。
帰納	jp/五十音/カ行	キ	-	Induction	帰納	きのう	-	具体的な事例から一般的な法則や結論を導き出す方法。
逆運動学	jp/五十音/カ行	キ	-	Inverse Kinematics	逆運動学	ぎゃくうんどうがく	-	ロボットの手先の位置から関節角度を計算する技術。
キャリブレーション	jp/五十音/カ行	キ	-	Calibration	キャリブレーション	キャリブレーション	較正	測定機器やセンサーの精度を確認し、調整する作業。
求心力	jp/五十音/カ行	キ	-	Centripetal Force	求心力	きゅうしんりょく	-	円運動する物体を中心に引き寄せる力。
吸盤	jp/五十音/カ行	キ	-	Suction Cup	吸盤	きゅうばん	-	物体を吸着して持ち上げるための装置。
教示	jp/五十音/カ行	キ	-	Teaching	教示	きょうじ	ティーチング	ロボットに動作を教える作業。
協調動作	jp/五十音/カ行	キ	-	Cooperative Operation	協調動作	きょうちょうどうさ	-	複数のロボットやシステムが連携して動作すること。
協働作業空間	jp/五十音/カ行	キ	-	Collaborative Workspace	協働作業空間	きょうどうさぎょうくうかん	-	人とロボットが共同で作業するための空間。
行列	jp/五十音/カ行	キ	-	Matrix	行列	ぎょうれつ	-	数値を長方形の配列で表現したもの。線形代数で使用される。
極座標	jp/五十音/カ行	キ	-	Polar Coordinates	極座標	きょくざひょう	-	円を基準に位置を表す座標系。
空圧	jp/五十音/カ行	ク	-	Pneumatics	空圧	くうあつ	-	圧縮空気を利用して動力を伝える技術。
クォータニオン	jp/五十音/カ行	ク	-	Quaternion	クォータニオン	クォータニオン	四次元数	回転を表現するための四次元数。
ケーブル	jp/五十音/カ行	ケ	-	Cable	ケーブル	ケーブル	ワイヤー	電気信号や電力を伝えるための導線。
減速機	jp/五十音/カ行	ケ	-	Gear Reducer	減速機	げんそくき	-	回転速度を減少させるための機械要素。
原点	jp/五十音/カ行	ケ	-	Origin	原点	げんてん	-	座標系の基準点。
降圧	jp/五十音/カ行	コ	-	Buck	降圧	こうあつ	-	電圧を下げること。電源回路で使用される。
較正	jp/五十音/カ行	コ	-	Calibration	較正	こうせい	キャリブレーション	測定機器やシステムの精度を確認し、調整する作業。
剛性	jp/五十音/カ行	コ	-	Rigidity	剛性	ごうせい	-	物体が変形に対して抵抗する性質。
誤差	jp/五十音/カ行	コ	-	Error	誤差	ごさ	-	測定値や計算値と真値の差。
故障	jp/五十音/カ行	コ	-	Failure	故障	こしょう	-	機械やシステムが正常に動作しなくなること。
故障モード	jp/五十音/カ行	コ	-	Failure Mode	故障モード	こしょうモード	-	故障の形態や状態。
故障率	jp/五十音/カ行	コ	-	Failure Rate	故障率	こしょうりつ	-	単位時間あたりの故障の発生頻度。
固有値	jp/五十音/カ行	コ	-	Eigenvalue	固有値	こゆうち	-	線形代数において行列に固有の値。
コリオリの力	jp/五十音/カ行	コ	-	Coriolis Force	コリオリの力	コリオリのちから	-	回転する座標系での見かけの力。
サーボモータ	jp/五十音/サ行	サ	-	Servo Motor	サーボモータ	サーボモータ	-	位置や速度を正確に制御できるモータ。
サイクルタイム	jp/五十音/サ行	サ	-	Cycle Time	サイクルタイム	サイクルタイム	-	作業が1サイクルを完了するのにかかる時間。
座標系	jp/五十音/サ行	サ	-	Coordinate System	座標系	ざひょうけい	-	空間内の位置を表すための基準。
座標変換	jp/五十音/サ行	サ	-	Coordinate Transformation	座標変換	ざひょうへんかん	-	異なる座標系間での変換。
シーケンス制御	jp/五十音/サ行	シ	-	Sequential Control	シーケンス制御	シーケンスせいぎょ	-	決まった順序で動作を行う制御方法。
シーリングセル	jp/五十音/サ行	シ	-	Ceiling Cell	シーリングセル	シーリングセル	-	天井に取り付けられた作業領域。
治具	jp/五十音/サ行	シ	-	Jig	治具	じぐ	-	加工や組み立ての際に部品を固定するための道具。
自己位置推定	jp/五十音/サ行	シ	SLAM	Self-Localization	自己位置推定	じこいちすいてい	-	ロボットが自身の位置を推定する技術。
自動化	jp/五十音/サ行	シ	-	Automation	自動化	じどうか	-	人間の介入なしに機械やシステムが動作すること。
ジャイロセンサ	jp/五十音/サ行	シ	-	Gyro Sensor	ジャイロセンサ	ジャイロセンサ	-	回転速度や角速度を検出するセンサー。
写像	jp/五十音/サ行	シ	-	Mapping	写像	しゃぞう	-	数学においてある集合から別の集合への対応関係。
重心	jp/五十音/サ行	シ	-	Center of Gravity	重心	じゅうしん	-	物体の重さの中心点。バランスの取り方や動力学に影響を与える。
自由度	jp/五十音/サ行	シ	DOF	Degree of Freedom	自由度	じゆうど	-	ロボットの動きや変形の可能な方向や数。多いほど複雑な動作が可能。
周波数	jp/五十音/サ行	シ	Hz	Frequency	周波数	しゅうはすう	-	1秒間に繰り返される周期の回数。ヘルツ（Hz）で測定される。
重力	jp/五十音/サ行	シ	-	Gravity	重力	じゅうりょく	-	物体が地球に引かれる力。重さを生じさせる力。
順運動学	jp/五十音/サ行	シ	-	Forward Kinematics	順運動学	じゅんうんどうがく	-	ロボットの関節の角度から手先の位置を計算する技術。
ジョイスティック	jp/五十音/サ行	シ	-	Joystick	ジョイスティック	ジョイスティック	コントローラ	ロボットや機械を手動で操作するための入力装置。
ジョイント	jp/五十音/サ行	シ	-	Joint	ジョイント	ジョイント	接合部	ロボットのリンク間を接続し、動きを伝達する部分。
昇圧	jp/五十音/サ行	シ	-	Boost	昇圧	しょうあつ	-	電圧を高くすること。電源回路やパワーエレクトロニクスで使用される。
衝突検知	jp/五十音/サ行	シ	-	Collision Detection	衝突検知	しょうとつけんち	-	物体が他の物体と衝突したことを検出する技術。
シリアルリンク	jp/五十音/サ行	シ	-	Serial Link	シリアルリンク	シリアルリンク	直列リンク	直列に接続されたロボットのリンク構造。複数の関節を持つ。
自律性	jp/五十音/サ行	シ	-	Autonomy	自律性	じりつせい	-	外部の指示なしに自分自身で行動する能力。
シリンダー	jp/五十音/サ行	シ	-	Cylinder	シリンダー	シリンダー	-	ピストンを収容し、直線運動を行うための筒状の部品。
指令値	jp/五十音/サ行	シ	-	Command Value	指令値	しれいち	目標値	制御システムが達成すべき目標値。
人工関節	jp/五十音/サ行	シ	-	Artificial Joint	人工関節	じんこうかんせつ	-	人間の関節を置換する人工の装置。
人工筋肉	jp/五十音/サ行	シ	-	Artificial Muscle	人工筋肉	じんこうきんにく	-	人工的に作られた筋肉。ロボットの動力源として使用される。
人工知能	jp/五十音/サ行	シ	AI	Artificial Intelligence	人工知能	じんこうちのう	-	機械が人間のように知的な行動を行う技術。
信頼性	jp/五十音/サ行	シ	-	Reliability	信頼性	しんらいせい	-	システムや機械が故障せずに安定して動作する能力。
信頼度	jp/五十音/サ行	シ	-	Confidence Level	信頼度	しんらいど	-	推定や測定の結果に対する確信の度合い。
スイッチ	jp/五十音/サ行	ス	-	Switch	スイッチ	スイッチ	-	電気回路の接続をオン・オフする装置。
スカラ	jp/五十音/サ行	ス	-	Scalar	スカラ	スカラ	-	大きさだけを持つ量。温度や質量など。
線形代数	jp/五十音/サ行	セ	-	Linear Algebra	線形代数	せんけいだいすう	-	ベクトルや行列を扱う数学の一分野。
測距センサ	jp/五十音/サ行	ソ	-	Distance Sensor	測距センサ	そっきょセンサ	距離センサ	物体までの距離を測定するセンサー。
力覚センサ	jp/五十音/ラ行	リ	-	Force Sensor	力覚センサ	りょくかくセンサ	-	物体にかかる力を検出するセンサー。
地磁気	jp/五十音/タ行	チ	-	Geomagnetism	地磁気	ちじき	-	地球の磁場。
地磁気センサ	jp/五十音/タ行	チ	-	Geomagnetic Sensor	地磁気センサ	ちじきセンサ	-	地球の磁場を検出するセンサー。コンパスとして使用される。
超音波距離センサ	jp/五十音/タ行	チ	-	Ultrasonic Distance Sensor	超音波距離センサ	ちょうおんぱきょりセンサ	-	超音波を使って物体までの距離を測定するセンサー。
直交	jp/五十音/タ行	チ	-	Orthogonal	直交	ちょっこう	-	互いに直角であること。直交座標系など。
ティーチング	jp/五十音/タ行	テ	-	Teaching	ティーチング	ティーチング	-	ロボットに動作を教える作業。プログラミングを含む。
ディープラーニング	jp/五十音/タ行	テ	DL	Deep Learning	ディープラーニング	ディープラーニング	深層学習	ニューラルネットワークを使った機械学習の手法。
抵抗	jp/五十音/タ行	テ	R	Resistance	抵抗	ていこう	-	電流の流れを妨げる性質。オーム（Ω）で測定される。
定速度制御	jp/五十音/タ行	テ	-	Constant Velocity Control	定速度制御	ていそくどせいぎょ	-	一定の速度を維持する制御方法。
デプロイ	jp/五十音/タ行	テ	-	Deploy	デプロイ	デプロイ	展開	ソフトウェアやシステムを実際の環境に配置して動作させること。
天吊り	jp/五十音/タ行	テ	-	Ceiling Suspension	天吊り	てんづり	-	装置や照明を天井から吊るす設置方法。
電流	jp/五十音/タ行	テ	I	Electric Current	電流	でんりゅう	-	電荷の流れ。アンペア（A）で測定される。
電力	jp/五十音/タ行	テ	P	Power	電力	でんりょく	-	電気の仕事率。ワット（W）で測定される。
動作範囲	jp/五十音/タ行	ト	-	Operating Range	動作範囲	どうさはんい	作業範囲	ロボットや機械が動作可能な範囲。
トルク	jp/五十音/タ行	ト	-	Torque	トルク	トルク	モーメント	回転力の大きさ。ニュートンメートル（Nm）で測定される。
ドローン	jp/五十音/タ行	ト	-	Drone	ドローン	ドローン	無人航空機	遠隔操作または自律飛行する無人航空機。
内積	jp/五十音/ナ行	ナ	-	Dot Product	内積	ないせき	スカラー積	2つのベクトルの成分ごとの積の総和。ベクトルの角度や大きさに関連する。
ネジ	jp/五十音/ナ行	ネ	-	Screw	ネジ	ネジ	ボルト	物を固定するための螺旋状の機械要素。
ノルム	jp/五十音/ナ行	ノ	-	Norm	ノルム	ノルム	-	ベクトルの大きさを表す関数。ユークリッドノルムなどがある。
歯車	jp/五十音/ハ行	ハ	-	Gear	歯車	はぐるま	ギア	回転運動を伝達し、速度やトルクを変えるための機械要素。
パラレルリンク	jp/五十音/ハ行	ハ	-	Parallel Link	パラレルリンク	パラレルリンク	平行リンク	複数のリンクを平行に配置した機構。ロボットアームなどで高精度な動作を実現する。
はんだ	jp/五十音/ハ行	ハ	-	Solder	はんだ	はんだ	-	金属を接合するための融点の低い合金。
はんだ付け	jp/五十音/ハ行	ハ	-	Soldering	はんだ付け	はんだづけ	-	はんだを用いて金属部品を接合する技術。
ヒステリシス	jp/五十音/ハ行	ヒ	-	Hysteresis	ヒステリシス	ヒステリシス	-	システムの現在の状態が過去の状態に依存する現象。磁気材料や制御システムで見られる。
ピストン	jp/五十音/ハ行	ヒ	-	Piston	ピストン	ピストン	-	シリンダー内を直線運動する部品。エンジンや油圧システムで使用される。
左手系座標	jp/五十音/ハ行	ヒ	-	Left-Handed Coordinate System	左手系座標	ひだりてけいざひょう	-	3次元空間で左手の親指、人差し指、中指がX, Y, Z軸を示す座標系。
ピッチ	jp/五十音/ハ行	ヒ	-	Pitch	ピッチ	ピッチ	-	物体が横軸を中心に回転する動き。飛行機やドローンの動作で重要。
ヒューマノイド	jp/五十音/ハ行	ヒ	-	Humanoid	ヒューマノイド	ヒューマノイド	人型ロボット	人間の形を模したロボット。二足歩行や人間と同様の動作をする。
フィードバック制御	jp/五十音/ハ行	フ	-	Feedback Control	フィードバック制御	フィードバックせいぎょ	-	システムの出力を監視し、目標値に一致するように調整する制御方法。
フィールドロボット	jp/五十音/ハ行	フ	-	Field Robot	フィールドロボット	フィールドロボット	アウトドアロボット	屋外や自然環境で使用されるロボット。農業、林業、建設、災害救助などの分野で活躍することが多い。
フーリエ変換	jp/五十音/ハ行	フ	FFT/Fourier Transform	Fourier Transform	フーリエ変換	フーリエへんかん	スペクトル解析	関数を周波数成分に分解する数学的手法。信号処理や画像処理で広く使われる。
フェールセーフ	jp/五十音/ハ行	フ	-	Fail-Safe	フェールセーフ	フェールセーフ	-	システムが故障しても安全な状態を保つ設計。自動車、航空機、産業機器などで重要。
不気味の谷	jp/五十音/ハ行	フ	-	Uncanny Valley	不気味の谷	ぶきみのたに	-	ロボットやCGが人間に近づくほど親近感が増すが、ある程度近づくと突然不気味に感じる現象。
フレームワーク	jp/五十音/ハ行	フ	-	Framework	フレームワーク	フレームワーク	ライブラリ	ソフトウェア開発を効率化するための構造やツールの集合。プログラムの基盤を提供。
プログラミング	jp/五十音/ハ行	フ	-	Programming	プログラミング	プログラミング	コーディング	コンピュータに指示を出すためのコードを書くこと。ソフトウェア開発の基本技術。
プロトコル	jp/五十音/ハ行	フ	-	Protocol	プロトコル	プロトコル	通信規約	コンピュータ同士が通信するためのルール。ネットワークやデバイス間のデータ交換を管理。
分解能	jp/五十音/ハ行	フ	-	Resolution	分解能	ぶんかいのう	解像度	測定機器や画像で区別できる最小の細かさ。高い分解能はより詳細な情報を提供。
ベアリング	jp/五十音/ハ行	ヘ	-	Bearing	ベアリング	ベアリング	軸受	回転する部分を支える部品。摩擦を減らし、スムーズな回転を可能にする。
平行リンク	jp/五十音/ハ行	ヘ	-	Parallel Link	平行リンク	へいこうリンク	パラレルメカニズム	複数のリンクを平行に配置した機構。ロボットアームなどで高精度な動作を実現する。
ベクトル	jp/五十音/ハ行	ヘ	-	Vector	ベクトル	ベクトル	-	大きさと方向を持つ量。物理量や力の表現に用いられる。
ヘルツ	jp/五十音/ハ行	ヘ	Hz	Hertz	ヘルツ	ヘルツ	周波数	1秒間に繰り返される周期の回数。周波数の単位として使用される。
保護等級	jp/五十音/ハ行	ホ	IP	IP Rating	保護等級	ほごとうきゅう	防塵防水等級	電子機器の防塵・防水性能を示す規格。IPXXで表記され、Xは防塵・防水の等級。
保全	jp/五十音/ハ行	ホ	-	Maintenance	保全	ほぜん	メンテナンス	機械や設備の正常な動作を維持するための作業。予防保全と修理保全がある。
ポテンショメータ	jp/五十音/ハ行	ホ	Pot	Potentiometer	ポテンショメータ	ポテンショメータ	可変抵抗器	電圧を調整するための可変抵抗器。アナログ信号の調整に用いられる。
マグネット	jp/五十音/マ行	マ	-	Magnet	マグネット	マグネット	磁石	鉄などを引き寄せる特性を持つ物体。モーターやセンサーで使用される。
マスタースレーブ	jp/五十音/マ行	マ	-	Master-Slave	マスタースレーブ	マスタースレーブ	リモートコントロール	一方の装置（マスター）が他方の装置（スレーブ）を遠隔操作する方式。
マニピュレータ	jp/五十音/マ行	マ	-	Manipulator	マニピュレータ	マニピュレータ	ロボットアーム	物を掴んだり動かしたりするロボットの一部。産業用ロボットに多く使われる。
マルチタスク	jp/五十音/マ行	マ	-	Multitasking	マルチタスク	マルチタスク	多重作業	複数の作業を同時に行う能力。コンピュータやオペレーティングシステムでの処理能力を示す。
右手系座標	jp/五十音/マ行	ミ	-	Right-Handed Coordinate System	右手系座標	みぎてけいざひょう	-	3次元空間で右手の親指、人差し指、中指がX, Y, Z軸を示す座標系。
無人搬送車	jp/五十音/マ行	ム	AGV	Automated Guided Vehicle	無人搬送車	むじんはんそうしゃ	自動搬送車	工場や倉庫で物を自動で運搬する車両。ガイドラインやセンサーで動作する。
メカナムホイール	jp/五十音/マ行	メ	-	Mecanum Wheel	メカナムホイール	メカナムホイール	全方向ホイール	斜めに配置されたローラーを持つ車輪。全方向に移動可能な移動システムを提供する。
モーション	jp/五十音/マ行	モ	-	Motion	モーション	モーション	動作	ロボットや機械の動き。計画された移動や動作のことを指す。
モーメント	jp/五十音/マ行	モ	-	Moment	モーメント	モーメント	力のモーメント	回転の原因となる力の作用を表す物理量。トルクとも呼ばれる。
目標値	jp/五十音/マ行	モ	-	Target Value	目標値	もくひょうち	設定値	制御システムにおいて、システムが達成すべき値。
ヤコビアン	jp/五十音/ヤ行	ヤ	-	Jacobian	ヤコビアン	ヤコビアン	-	関数の偏微分からなる行列。ロボットの運動学で関節速度と末端速度の関係を表す。
油圧	jp/五十音/ヤ行	ユ	-	Hydraulics	油圧	ゆあつ	-	液体の圧力を利用して力を伝達する技術。重機やロボットアクチュエータで使用される。
ユークリッド空間	jp/五十音/ヤ行	ユ	-	Euclidean Space	ユークリッド空間	ユークリッドくうかん	-	ユークリッド幾何学に基づく空間。3次元空間のことを指す。
ユーザーインターフェース	jp/五十音/ヤ行	ユ	UI	User Interface	ユーザーインターフェース	ユーザーインターフェース	-	ユーザーがシステムとやり取りするための手段。グラフィカルユーザーインターフェース（GUI）など。
ヨー	jp/五十音/ヤ行	ヨ	-	Yaw	ヨー	ヨー	偏揺れ	物体が垂直軸を中心に回転する動き。飛行機やドローンの動作で重要。
四次元数	jp/五十音/サ行	シ	クォータニオン	Quaternion	四次元数	しじげんすう	クォータニオン	四次元の複素数。回転を表現するために3Dグラフィックスやロボット工学で使用される。
ラッチ	jp/五十音/ラ行	ラ	-	Latch	ラッチ	ラッチ	-	信号を保持するための回路。デジタル回路でデータの保存に使用される。
ラプラス変換	jp/五十音/ラ行	ラ	-	Laplace Transform	ラプラス変換	ラプラスへんかん	-	微分方程式を解くための変換技法。制御理論や信号処理で使用される。
ランドマーク	jp/五十音/ラ行	ラ	-	Landmark	ランドマーク	ランドマーク	-	ロボットが自己位置推定のために使用する特徴的な目印。SLAMで重要な役割を果たす。
ロータリーエンコーダ	jp/五十音/ラ行	ロ	RE	Rotary Encoder	ロータリーエンコーダ	ロータリーエンコーダ	回転センサー	回転位置を検出するためのセンサー。モーター制御で使用される。
ロール	jp/五十音/ラ行	ロ	-	Roll	ロール	ロール	転揺	物体が前後軸を中心に回転する動き。飛行機やドローンの動作で重要。
ロックセンサ	jp/五十音/ラ行	ロ	-	Lock Sensor	ロックセンサ	ロックセンサ	-	物体の位置や状態を検出し、固定するためのセンサー。
ロボット	jp/五十音/ラ行	ロ	-	Robot	ロボット	ロボット	-	自動的に動作する機械。産業用、家庭用、医療用など多様な用途がある。
ワイヤー	jp/五十音/ワ行	ワ	-	Wire	ワイヤー	ワイヤー	ケーブル	電気信号や電力を伝えるための導線。通信や電力供給に使用される。
ワット	jp/五十音/ワ行	ワ	W	Watt	ワット	ワット	-	電力の単位。1ワットは1秒間に1ジュールの仕事をする。
アンペア	jp/五十音/ア行	ア	A	Ampere	アンペア	アンペア	-	電流の単位。1アンペアは1秒間に1クーロンの電荷が流れる。
ボルト	jp/五十音/ハ行	ホ	V	Volt	ボルト	ボルト	-	電圧の単位。電位差を表す。
